P640|http://www.culture.gouv.fr/public/mistral/leonore_fr?ACTION=CHERCHER&FIELD_1=COTE&VALUE_1=$1
P646|https://www.freebase.com$1
P648|https://openlibrary.org/works/$1
P650|http://rkd.nl/explore/artists/$1
P651|http://www.biografischportaal.nl/persoon/$1
P652|http://fdasis.nlm.nih.gov/srs/srsdirect.jsp?regno=$1
P653|https://www.ncbi.nlm.nih.gov/pubmedhealth/$1
P661|http://www.chemspider.com/Chemical-Structure.$1.html
P662|https://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=$1
P665|http://www.kegg.jp/entry/$1
P668|https://www.ncbi.nlm.nih.gov/books/$1
P671|http://www.informatics.jax.org/marker/MGI:$1
P673|http://emedicine.medscape.com/article/$1
P675|http://books.google.com/books?id=$1
P677|http://drusop.nature.cz/ost/chrobjekty/chrob_find/index.php?frame=1&h_kod=$1
P683|https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:$1
P685|https://www.ncbi.nlm.nih.gov/taxonomy/$1
P686|http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:$1
P687|http://biodiversitylibrary.org/page/$1
P691|http://aut.nkp.cz/$1
P698|https://www.ncbi.nlm.nih.gov/pubmed/?term=$1
P699|http://disease-ontology.org/term/DOID:$1
P701|http://dodis.ch/$1
P709|http://data.historic-scotland.gov.uk/pls/htmldb/f?p=2200:15:0::::BUILDING,HL:$1
P715|http://www.drugbank.ca/drugs/DB$1
P716|http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=$1
P717|http://newton.dm.unipi.it/neodys/index.php?pc=2.1.0&o=$1
P718|http://canmore.rcahms.gov.uk/en/site/$1/details/
P721|http://www.mosclassific.ru/mClass/okato_view.php?text=$1
P723|http://www.dbnl.org/auteurs/auteur.php?id=$1
P724|https://archive.org/details/$1
P727|http://data.europeana.eu/item/$1
P731|https://www.bgr.de/app/litholex/gesamt_ausgabe_neu.php?id=$1
P732|https://www.bgs.ac.uk/Lexicon/lexicon.cfm?pub=$1
P733|http://www.dinoloket.nl/$1
P745|http://www.ins-bremen.de/pbub/autor-werke.php?ID=$1&START=1&ORD=JAHR
P757|http://whc.unesco.org/en/list/$1
P758|http://www.kulturminnesok.no/kulturminnesok/kulturminne/?LOK_ID=$1
P759|https://hermis.alberta.ca/ARHP/Details.aspx?DeptID=1&ObjectID=$1
P761|http://www.viss.lansstyrelsen.se/Waters.aspx?waterEUID=SE$1
P763|http://www.gov.pe.ca/hpo/app.php?nav=details&p=$1
P764|http://classif.spb.ru/classificators/view/tma.php?st=A&kr=1&kod=$1
P781|http://www.sikart.ch/KuenstlerInnen.aspx?id=$1&lng=en
P791|http://dispatch.opac.d-nb.de/DB=1.2/CMD?ACT=SRCHA&IKT=8529&TRM=$1
P804|https://geonames.usgs.gov/pls/gnispublic/f?p=gnispq:5:::NO::P5_ANTAR_ID:$1
P809|http://www.protectedplanet.net/$1
P815|http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=$1
P818|http://arxiv.org/abs/$1
P819|http://adsabs.harvard.edu/abs/$1
P821|http://www4.rncan.gc.ca/search-place-names/unique.php?id=$1
P824|http://www.lpi.usra.edu/meteor/metbull.php?code=$1
P827|http://www.bbc.co.uk/programmes/$1
P829|https://oeis.org/$1
P830|http://eol.org/pages/$1
P838|http://www.biolib.cz/en/taxon/id$1
P839|http://imslp.org/wiki/$1
P842|http://fossilworks.org/bridge.pl?a=taxonInfo&taxon_no=$1
P843|http://colectaredate.insse.ro/senin/classifications.htm?selectedClassification=SIRUTA_AN_2014&action=search&resetCount=true&firstOperator=%3D&itemCode=$1&locale=ro
P845|http://heritageapp.cyr.gov.sk.ca/public/index.cfm?action=propdetails&id=$1
P846|http://www.gbif.org/species/$1
P850|http://www.marinespecies.org/aphia.php?p=taxdetails&id=$1
P860|http://www.e-archiv.li/personDetail.aspx?persID=$1
P861|http://www.premiershiprugby.com/matchcentre/fixtures/squads.php?player=$1&includeref=dynamic
P863|https://inpho.cogs.indiana.edu/idea/$1.html
P864|https://dl.acm.org/author_page.cfm?id=$1
P865|http://bmlo.de/$1
P866|http://www.perlentaucher.de/autor/$1.html
P867|https://recrutement.pole-emploi.fr/fichesrome/ficherome?codeRome=$1&domaine=Candidat
P882|http://quickfacts.census.gov/qfd/states/$1.html
P884|http://vwo.osm.rambler.ru/?page=findname&name=$1
P886|http://www.e-lir.ch/e-LIR___Lexicon.$1.450.0.html
P888|http://www.jstor.org/stable/$1
P889|http://www.ams.org/mathscinet-getitem?mr=$1
P892|https://tools.ietf.org/html/rfc$1
P893|http://ssrn.com/abstract=$1
P894|https://zbmath.org/?q=an:$1
P902|http://www.hls-dhs-dss.ch/textes/d/D$1.php
P905|http://port.hu/pls/fi/films.film_page?i_film_id=$1
P906|https://libris.kb.se/auth/$1
P907|http://allgame.com/game.php?id=$1
P918|http://www5.hrsdc.gc.ca/noc/english/noc/2011/Profile.aspx?val=7&val1=$1
P920|http://id.sgcb.mcu.es/lem/ver/Autoridades/$1/concept
